1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PBT,45. PFAS,46. FORM TYPE,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,65. POTW - TOTAL TRANSFERS,66. 6.2 - M10,67. 6.2 - M41,68. 6.2 - M62,69. 6.2 - M40 METAL,70. 6.2 - M61 METAL,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,85. OFF-SITE RELEASE TOTAL,86. 6.2 - M20,87. 6.2 - M24,88. 6.2 - M26,89. 6.2 - M28,90. 6.2 - M93,91. OFF-SITE RECYCLED TOTAL,92. 6.2 - M56,93. 6.2 - M92,94. OFF-SITE ENERGY RECOVERY T,95. 6.2 - M40 NON-METAL,96. 6.2 - M50,97. 6.2 - M54,98. 6.2 - M61 NON-METAL,99. 6.2 - M69,100. 6.2 - M95,101. OFF-SITE TREATED TOTAL,102. 6.2 - UNCLASSIFIED,103. 6.2 - TOTAL TRANSFER,104. TOTAL RELEASES,105. 8.1 - RELEASES,106. 8.1A - ON-SITE CONTAINED,107. 8.1B - ON-SITE OTHER,108. 8.1C - OFF-SITE CONTAIN,109. 8.1D - OFF-SITE OTHER R,110. 8.2 - ENERGY RECOVER ON,111. 8.3 - ENERGY RECOVER OF,112. 8.4 - RECYCLING ON SITE,113. 8.5 - RECYCLING OFF SIT,114. 8.6 - TREATMENT ON SITE,115. 8.7 - TREATMENT OFF SITE,116. PRODUCTION WSTE (8.1-8.7),117. 8.8 - ONE-TIME RELEASE,118. PROD_RATIO_OR_ ACTIVITY,119. 8.9 - PRODUCTION RATIO
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Toluene,NO,108883,108-88-3,25452,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,96,350,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Sodium sulfate (solution),NO,7757826,7757-82-6,153320,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0,0,1740000,0,0,0,0,0,0,0,0,0,0,0,1740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740000,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Manganese compounds,NO,N450,N450,650010,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000,0,0,0,0,0,0,0,0,0,108000,0,0,0,0,0,0,0,108000,108000,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Hydrogen fluoride,NO,7664393,7664-39-3,152371,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,580,120,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Chlorine,NO,7782505,7782-50-5,154328,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,400,150,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Phosphoric acid,NO,7664382,7664-38-2,152363,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Sodium hydroxide (solution),NO,1310732,1310-73-2,82644,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Freon 113 (CFC-113),NO,76131,76-13-1,6148,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,17000,330000,0,0,0,0,0,0,0,0,0,0,0,0,347000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347000,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Carbon tetrachloride,NO,56235,56-23-5,2071,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,240,3500,0,0,0,0,0,0,0,0,0,0,0,0,3740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3740,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,94509DPNTN6000B,110042000000,DU PONT ANTIOCH WORKS,6000 BRIDGEHEAD RD,ANTIOCH,CONTRA COSTA,CA,945097301,,,38,-122,NAD83,E I DU PONT DE NEMOURS & CO INC,1315704,,NO,325,Chemicals,2816,,,,,,325131,,,,,,1.387E+12,Methanol,NO,67561,67-56-1,4283,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,300,5900,0,0,0,0,0,0,0,0,0,0,0,0,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,0,0,0,0,0,0,0,0,0,0,0,0,,,
